file_name,solidity,perimeter,equivalent_diameter,eccentricity,bbox_area,area,extent,major_axis_length,min_axis_length,min_major_axis_ratio,convex_area,type
../dataset/images\case1\chromosome\1.TIF,0.6130311614730878,372.6761902332486,64.2879114780558,0.9711687247084527,12177,3246,0.2665681202266568,170.45495639639347,40.63529905835474,0.23839317974337595,5295,0
../dataset/images\case1\chromosome\10.TIF,0.9131736526946108,158.06601717798213,39.41258992475499,0.9339876290751976,2650,1220,0.46037735849056605,67.44892892637877,24.099862741478493,0.35730534383702,1336,0
../dataset/images\case1\chromosome\11.TIF,0.5201571221831713,551.4041122946064,80.04337192489669,0.9669185719191542,14898,5032,0.33776345818230635,235.43425117466052,60.055800440111824,0.2550852313988864,9674,0
../dataset/images\case1\chromosome\12.TIF,0.8717532467532467,149.74011537017762,36.97917347704738,0.9219149277425833,1482,1074,0.7246963562753036,61.188067097661566,23.703791724250053,0.38739239280784443,1232,0
../dataset/images\case1\chromosome\13.TIF,0.7483031674208145,303.5634918610404,58.04301711118436,0.9791850644395623,7198,2646,0.3676021116976938,138.53496844375513,28.118370427336135,0.20296947942607088,3536,0
../dataset/images\case1\chromosome\14.TIF,0.7590922315973232,308.43354954612926,57.63576990215399,0.9815120091343077,9040,2609,0.2886061946902655,143.59295415551276,27.48377242140037,0.1914005640669189,3437,0
../dataset/images\case1\chromosome\15.TIF,0.8914141414141414,249.6812408671319,51.929965874715094,0.9759157134060397,3016,2118,0.7022546419098143,113.39002302736948,24.7357990565823,0.21814793220927123,2376,0
../dataset/images\case1\chromosome\16.TIF,0.7914338919925512,174.12489168102786,40.29119531035698,0.8748178392936377,2365,1275,0.5391120507399577,64.6733263241843,31.331122801682152,0.4844520079983271,1611,0
../dataset/images\case1\chromosome\17.TIF,0.8620309050772627,198.3086578651014,44.59596583634359,0.9618838010360893,3763,1562,0.41509433962264153,88.51669999560167,24.205644342730633,0.2734585038070036,1812,0
../dataset/images\case1\chromosome\18.TIF,0.7313155224890091,474.8772003600252,74.20755373261929,0.754637265784693,6848,4325,0.631571261682243,115.43630252026328,75.74263041635263,0.6561422079770532,5914,0
