solidity,perimeter,equivalent_diameter,eccentricity,bbox_area,area,extent,major_axis_length,min_axis_length,min_major_axis_ratio,convex_area,type,chromosome_num
0.678321678,94.56854249,15.71650316,0.986272845,925,194,0.20972973,45.98529233,7.593267021,0.165123818,286,0,1
0.830860534,82.59797975,18.88139488,0.90777042,435,280,0.643678161,30.65517412,12.85884487,0.419467357,233,0,1
0.899736148,80.42640687,20.8368588,0.90181465,609,341,0.559934319,32.47503378,14.03321089,0.432123058,307,0,1
0.861313869,86.52691193,21.23032734,0.919290247,465,354,0.761290323,34.98649981,13.7699966,0.393580286,305,0,1
0.847222222,99.87615434,21.58716455,0.912799832,704,366,0.519886364,35.04309385,14.31185297,0.408407232,310,0,1
0.84,91.01219331,21.93819837,0.817964996,624,378,0.605769231,31.48213593,18.11066521,0.575267995,318,0,1
0.850446429,97.01219331,22.02508267,0.924356353,525,381,0.725714286,37.21431078,14.19838535,0.381530252,324,0,1
0.910165485,88.52691193,22.14039803,0.932800125,510,385,0.754901961,37.67390424,13.57745379,0.360394126,350,0,1
0.876379691,91.35533906,22.48279563,0.858002842,540,397,0.735185185,33.10945424,17.0065036,0.513644939,348,0,1
0.862985685,99.84062043,23.17988542,0.9382289,629,422,0.6709062,40.64876928,14.06509274,0.346015218,364,0,1
0.822857143,98.91168825,23.45292057,0.896424261,837,432,0.516129032,37.82763856,16.76509438,0.443196959,355,0,1
0.891348089,97.01219331,23.74963407,0.937526021,722,443,0.613573407,41.23452747,14.34611725,0.347915161,395,0,1
0.862332696,101.6396103,23.96311822,0.946688797,1088,451,0.414522059,44.07533967,14.19885004,0.322149532,389,0,1
0.876660342,98.08326112,24.25359086,0.936876118,851,462,0.542890717,42.23476873,14.76787111,0.349661465,405,0,1
0.87732342,103.7401154,24.51467041,0.945814076,936,472,0.504273504,44.3873067,14.41294424,0.324708691,414,0,1
0.862838915,108.4264069,26.24542996,0.93689128,840,541,0.644047619,46.04410006,16.0979768,0.349620837,467,0,1
0.851959361,118.7106781,27.33846398,0.954334557,1386,587,0.423520924,52.13314321,15.57425222,0.298739943,500,0,1
0.849570201,116.9116882,27.47782834,0.89390759,966,593,0.613871636,42.43635231,19.02214974,0.448251292,504,0,1
0.87661406,121.6396103,27.89174361,0.957778252,1222,611,0.5,52.7029691,15.15252242,0.287507946,536,0,1
0.715116279,134.5685425,27.98289335,0.931082532,1419,615,0.433403805,52.37660725,19.10743699,0.364808604,440,0,1
0.802597403,129.1543289,28.05106127,0.963863922,1040,618,0.594230769,57.21646946,15.24218616,0.266395084,496,0,1
0.879603399,115.7401154,28.11906395,0.77985386,864,621,0.71875,37.14635469,23.2521926,0.625961626,546,0,1
0.879382889,131.1543289,28.25457829,0.967130697,1166,627,0.537735849,57.20290226,14.54554227,0.254279795,551,0,1
0.817026684,135.3969696,28.61281229,0.968193763,1045,643,0.615311005,60.16794114,15.05411483,0.250201595,525,0,1
0.900689655,128.3675324,28.83444854,0.961055273,1677,653,0.389385808,55.73174554,15.40181466,0.276356222,588,0,1
